title,year,genre,users_rating,votes,languages,directors,runtime
Get Married,2007,Comedy,6.5,216,Indonesian,Hanung Bramantyo,105 min
Hantu,2007,Horror,5.8,38,Indonesian,Adrianto Sinaga,95 min
Jelangkung 3,2007,Horror,4.7,23,Indonesian,Angga Dwimas Sasongko,90 min
Kangen,2007,Drama,5.8,14,Indonesian,Nayato Fio Nuala,90 min
Kuntilanak 2,2007,Horror,5.7,155,Indonesian,Rizal Mantovani,
Lantai 13,2007,Horror,4.8,35,Indonesian,Helfi C.H. Kardit,
Lari dari Blora,2007,Drama,5.6,8,Indonesian,Akhlis Suryapati,
Lawang Sewu,2007,Horror,5.2,79,Indonesian,Arie Azis,112 min
Legenda Sundel Bolong,2007,Horror,5,23,Indonesian,Hanung Bramantyo,91 min
Long Road to Heaven,2007,Drama,6.9,45,English,Enison Sinaro,120 min
Lotus Requiem,2007,Drama,7.5,70,Indonesian,Upi Avianto,105 min
Love Is Cinta,2007,Drama,5.6,132,Indonesian,Hanny Saputra,
Malam Jumat Kliwon,2007,Horror,2.2,29,Indonesian,Nayato Fio Nuala,90 min
Medley,2007,Drama,6.4,8,Indonesian,Franklin Darmadi,97 min
Mengejar Mas Mas,2007,Comedy,7.3,45,Indonesian,Rudy Soedjarwo,94 min
Miracle: Menantang Maut,2007,Horror,3.6,14,Indonesian,Helfi C.H. Kardit,98 min
Naga Bonar Jadi 2,2007,Comedy,7.1,397,Indonesian,Deddy Mizwar,118 min
Pocong 3,2007,Horror,5.1,44,Indonesian,Monty Tiwa,
Pulau Hantu,2007,Horror,3.9,39,Indonesian,Jose Poernomo,91 min
Quickie Express,2007,Comedy,6.9,360,Indonesian,Dimas Djayadiningrat,
Roh,2007,Horror,4.4,11,Indonesian,Atok Suharto,
Selamanya,2007,Drama,7,45,Indonesian,Ody C. Harahap,
Suster N,2007,Horror,4.3,27,Indonesian,Viva Westi,
Suster Ngesot,2007,Horror,4.9,39,Indonesian,Arie Azis,87 min
Tentang Cinta,2007,Drama,7.9,54,Indonesian,Soni Gaokasak,90 min
Terowongan Casablanca,2007,Horror,3.9,40,Indonesian,Nanang Istiabudi,
The Butterfly,2007,Drama,6.4,21,Indonesian,Nayato Fio Nuala,85 min
The Photograph,2007,Drama,6.8,179,Indonesian,Nan Triveni Achnas,94 min
The Wall,2007,Horror,4.6,8,Indonesian,Kumar Pareek,
9 Naga,2006,Crime,6.5,119,Indonesian,Rudy Soedjarwo,104 min
Bangku Kosong,2006,Horror,5.8,49,Indonesian,Helfi C.H. Kardit,
Berbagi Suami,2006,Comedy,7.5,379,Indonesian,Nia Di Nata,
Betina,2006,Drama,7.6,5,Indonesian,Lola Amaria,70 min
"Denias, Senandung di Atas Awan",2006,Drama,6.8,150,Indonesian,John de Rantau,110 min
Ekspedisi Madewa,2006,,5.8,25,Indonesian,Franklin Darmadi,
Garasi,2006,Drama,6.2,69,Indonesian,Agung Sentausa,110 min
Gotcha,2006,Horror,5.1,22,Indonesian,Nayato Fio Nuala,
Gue Kapok Jatuh Cinta,2006,Comedy,4.5,11,Indonesian,Thomas Nawilis,110 min
